SellID,State
54000,ACT
54000,NSW
54000,NT
54000,SA
54000,VIC
54000,WA
212790,ACT
212790,NSW
212790,NT
212790,QLD
212790,SA
212790,TAS
212790,VIC
212790,WA
292223,ACT
292223,NSW
292223,NT
292223,QLD
292223,SA
292223,TAS
292223,VIC
292223,WA
293099,ACT
293099,NSW
293099,QLD
293099,SA
293099,VIC
293099,WA
332011,VIC
332383,ACT
332383,NSW
332383,NT
332383,QLD
332383,SA
332383,TAS
332383,VIC
332383,WA
332394,ACT
332394,NSW
332394,NT
332394,QLD
332394,SA
332394,VIC
332394,WA
1139480,ACT
1139480,NSW
1139480,NT
1139480,QLD
1139480,SA
1139480,VIC
1139480,WA
1794180,ACT
1794180,NSW
1794180,QLD
1794180,SA
1794180,VIC
1794180,WA
2360890,ACT
2360890,NSW
2360890,QLD
2360890,SA
2360890,VIC
2360890,WA
2649471,NSW
2649471,NT
2649471,QLD
2649471,SA
2649471,TAS
2649471,VIC
2649471,WA
2649482,ACT
2649482,NSW
2649482,NT
2649482,QLD
2649482,SA
2649482,VIC
2649482,WA
2649493,ACT
2649493,NSW
2649493,NT
2649493,QLD
2649493,SA
2649493,TAS
2649493,VIC
2649493,WA
2715816,ACT
2715816,NSW
2715816,QLD
2715816,SA
2715816,VIC
2715816,WA
2738243,ACT
2738243,NSW
2738243,NT
2738243,QLD
2738243,SA
2738243,TAS
2738243,VIC
2834225,NSW
2834225,NT
2834225,QLD
2834225,SA
2834225,VIC
2834225,WA
2834247,NSW
2834247,QLD
2834247,SA
2834247,VIC
2834247,WA
2917050,ACT
2917050,NSW
2917050,NT
2917050,QLD
2917050,SA
2917050,VIC
2917050,WA
2917060,ACT
2917060,NSW
2917060,NT
2917060,QLD
2917060,SA
2917060,VIC
2917060,WA
3216913,ACT
3216913,NSW
3216913,NT
3216913,QLD
3216913,SA
3216913,VIC
3216913,WA
3237185,ACT
3237185,NSW
3237185,QLD
3237185,SA
3237185,VIC
3237185,WA
3237196,ACT
3237196,NSW
3237196,QLD
3237196,SA
3237196,VIC
3237196,WA
3237913,ACT
3237913,NSW
3237913,NT
3237913,QLD
3237913,SA
3237913,TAS
3237913,VIC
3237913,WA
3237946,NSW
3237946,QLD
3237946,SA
3237946,TAS
3237946,VIC
3237946,WA
3237957,ACT
3237957,NSW
3237957,NT
3237957,QLD
3237957,SA
3237957,TAS
3237957,VIC
3237957,WA
3237968,ACT
3237968,NSW
3237968,QLD
3237968,SA
3237968,TAS
3237968,VIC
3237968,WA
3362915,ACT
3362915,NSW
3362915,QLD
3362915,SA
3362915,TAS
3362915,VIC
3362915,WA
3362926,NSW
3362926,QLD
3362926,SA
3362926,VIC
3362937,NSW
3362937,QLD
3362937,SA
3362937,TAS
3362937,VIC
3362937,WA
3378289,NSW
3378289,NT
3378289,SA
3378289,TAS
3378289,VIC
3378289,WA
3378290,NT
3378290,SA
3378290,TAS
3378290,VIC
3378290,WA
3378303,ACT
3378303,NSW
3378303,QLD
3378314,NT
3378314,SA
3378314,TAS
3378314,VIC
3378314,WA
3378325,ACT
3378325,NSW
3378325,QLD
3384430,ACT
3384430,NSW
3384430,QLD
3499057,NSW
3499057,QLD
3499057,SA
3499057,VIC
3499057,WA
3499068,ACT
3499068,NSW
3499068,NT
3499068,QLD
3499068,SA
3499068,VIC
3499068,WA
3558247,ACT
3558247,NSW
3558247,QLD
3558247,SA
3558247,TAS
3558247,VIC
3558247,WA
3580155,ACT
3580155,NSW
3580155,QLD
3580155,SA
3580155,VIC
3580155,WA
3612648,NSW
3612648,QLD
3612648,WA
3612659,QLD
3612706,ACT
3612706,NSW
3612706,QLD
3612706,SA
3612706,VIC
3612706,WA
3627328,NT
3627328,SA
3627328,TAS
3627328,VIC
3627328,WA
3646151,ACT
3646151,NSW
3646151,QLD
3751790,NSW
3751790,QLD
3751790,SA
3751790,VIC
3751790,WA
3764737,NSW
3764737,QLD
3764737,SA
